-47.011543189209,-23.098345644976
-47.011543073443,-23.098345714958
-47.011542704121,-23.09834586922
-47.011542056558,-23.098346117171
-47.011541163628,-23.098346440319
-47.011540015466,-23.098346859729
-47.011538639623,-23.098347353402
-47.011537057011,-23.098347900662
-47.011535259016,-23.098348528499
-47.011533241328,-23.098349250529
-47.011531063653,-23.09835001279
-47.011528713998,-23.098350834942
-47.011526188593,-23.098351719244
-47.011523471607,-23.0983526697
-47.011520517787,-23.098353693967
-47.011517334292,-23.098354803398
-47.01151394652,-23.098355989078
-47.011510363655,-23.098357240462
-47.011506670401,-23.098358526816
-47.011502825615,-23.098359878256
-47.011498777615,-23.098361291912
-47.01149421567,-23.098362861489
-47.011488759701,-23.098364778909
-47.011482149798,-23.098367055108
-47.011475095902,-23.098369456967
-47.011467947133,-23.098371885071
-47.011460841876,-23.098374309602
-47.011453948836,-23.098376659738
-47.011447171001,-23.098378992546
-47.011440192167,-23.098381376832
-47.011433115425,-23.098383793078
-47.011425939628,-23.098386267974
-47.011418533192,-23.098388825835
-47.011410857926,-23.098391422762
-47.011403127306,-23.098394060597
-47.011395132736,-23.098396822354
-47.01138691107,-23.098399629873
-47.011378575702,-23.098402484586
-47.011369917513,-23.098405444434
-47.011360876994,-23.098408537913
-47.011351449079,-23.098411783343
-47.011341641012,-23.098415112824
-47.011331571884,-23.098418510373
-47.011321316547,-23.098421998279
-47.011310675874,-23.098425650569
-47.011300341303,-23.098429213712
-47.011290431377,-23.098432539617
-47.011281265018,-23.098435727621
-47.011273211997,-23.098438549416
-47.011266414766,-23.09844090994
-47.011261265612,-23.098442680073
-47.011258017146,-23.09844380348
-47.011254421107,-23.09844506396
-47.011250084309,-23.098446510086
-47.011245746894,-23.098447991077
-47.01124137935,-23.098449509709
-47.011236884948,-23.098451027568
-47.011232286645,-23.098452635386
-47.011227639526,-23.098454237194
-47.011222867926,-23.098455920709
-47.011218172318,-23.098457516094
-47.011213590789,-23.098459149162
-47.011209156061,-23.098460768781
-47.011204670622,-23.098462325899
-47.011200171755,-23.098463899949
-47.011195621401,-23.098465459292
-47.011191104067,-23.098466970239
-47.0111866373,-23.098468492642
-47.011182197655,-23.098470071249
-47.011177783066,-23.098471603235
-47.011173330718,-23.098473160095
-47.01116885655,-23.098474740411
-47.011164410471,-23.098476264623
-47.011160014057,-23.098477822126
-47.011155590352,-23.098479398823
-47.011151108329,-23.098480927975
-47.011146661885,-23.098482520058
-47.011142236168,-23.098484081479
-47.0111377635,-23.098485619953
-47.011133300931,-23.098487189731
-47.011128890284,-23.098488788731
-47.011124474446,-23.098490370019
-47.011120016072,-23.098491954063
-47.011115555038,-23.098493558314
-47.011111101419,-23.098495122953
-47.011106685159,-23.098496701162
-47.011102255794,-23.09849825067
-47.0110977839,-23.098499810634
-47.011093321316,-23.09850141077
-47.011088870262,-23.09850299945
-47.011084432254,-23.098504575232
-47.011079986334,-23.098506121759
-47.011075588428,-23.098507708865
-47.011071175307,-23.098509295827
-47.011066686439,-23.098510850964
-47.01106223822,-23.098512455739
-47.0110578077,-23.098514033265
-47.011053380893,-23.09851560186
-47.011048954529,-23.098517214369
-47.011044486589,-23.098518823894
-47.011040004596,-23.098520421499
-47.011035589063,-23.098522004927
-47.011031145278,-23.098523589322
-47.011026726363,-23.098525163457
-47.011022315249,-23.098526741268
-47.011017840567,-23.098528315693
-47.011013393189,-23.098529911222
-47.011008973257,-23.098531526793
-47.011004550232,-23.098533109277
-47.011000134382,-23.09853468062
-47.010995672074,-23.09853629447
-47.010991213361,-23.098537878624
-47.01098679218,-23.098539452061
-47.010982396337,-23.098541057872
-47.010978003413,-23.098542669216
-47.010973566963,-23.098544265267
-47.010969138236,-23.098545849193
-47.010964678732,-23.098547443601
-47.010960203726,-23.09854903165
-47.010955703452,-23.09855062789
-47.010951214472,-23.098552268073
-47.010946587132,-23.098553722716
-47.010941856849,-23.098555306403
-47.01093713808,-23.09855731786
-47.010932333263,-23.09855893842
-47.010927487684,-23.098560649704
-47.010922579729,-23.098562394124
-47.010917523864,-23.098564152006
-47.010912439351,-23.098566025239
-47.010907196958,-23.098567853988
-47.010901873991,-23.09856980002
-47.010896450176,-23.098571625523
-47.010890945887,-23.098573621985
-47.010885270635,-23.09857566973
-47.01087949677,-23.098577642989
-47.01087367712,-23.098579612334
-47.010867817292,-23.098581604317
-47.010861912267,-23.098583705725
-47.010855954495,-23.098585819722
-47.010850020156,-23.098587882793
-47.010844054768,-23.098590057912
-47.010837818788,-23.098592285875
-47.010831531432,-23.098594542731
-47.010825308331,-23.098596784833
-47.010819014701,-23.098599073511
-47.010812077512,-23.098601492691
-47.010803662409,-23.098604468093
-47.010793207616,-23.09860804907
-47.010780310783,-23.098612625024
-47.010763908304,-23.098618528331
-47.010743690753,-23.098625840746
-47.010719762498,-23.09863442527
-47.010692534236,-23.098644281466
-47.010660720838,-23.098656860032
-47.010625226391,-23.098676915277
-47.010588533568,-23.098707007153
-47.010553987164,-23.09874973416
-47.01051120734,-23.098801899875
-47.010460084107,-23.098864367745
-47.010398776728,-23.09893502721
-47.01032710612,-23.099005126963
-47.010251451593,-23.099062423826
-47.010178122796,-23.099102681983
-47.010110595292,-23.099124970941
-47.010051710116,-23.099136793544
-47.009999927037,-23.099143345943
-47.00995560373,-23.099146323705
-47.00991518076,-23.099146993116
-47.009878250339,-23.09914688175
-47.00984446753,-23.099146115559
-47.009814619778,-23.099145073452
-47.009787451104,-23.099144075738
-47.009761855842,-23.09914307962
-47.009736447129,-23.099142017844
-47.009710024297,-23.099140795863
